node1	node2	node1_OG	node2_OG	combined_score
A0A1L8EJU1	cars	12893	13445	0.429
A0A1L8EJU1	ran	12893	14315	0.457
A0A1L8EJU1	ran-2	12893	14315	0.457
A0A1L8EJU1	A0A1L8GPX4	12893	14267	0.458
A0A1L8EJU1	usp19	12893	14267	0.458
A0A1L8EJU1	Mrpl38.L	12893	13733	0.525
A0A1L8EJU1	ak2	12893	14119	0.653
A0A1L8EJU1	AK2	12893	14119	0.653
A0A1L8EJU1	csnk1e	12893	14325	0.659
A0A1L8EJU1	Csnk1d.S	12893	14325	0.659
A0A1L8EJU1	A0A1L8GH49	12893	14325	0.659
A0A1L8EJU1	A0A1L8G3I3	12893	14203	0.697
A0A1L8EJU1	Abcf2.L	12893	13967	0.778
A0A1L8EJU1	abce1	12893	13967	0.879
A0A1L8EJU1	abce1-2	12893	13967	0.879
A0A1L8EJU1	A0A1L8HHN1	12893	12477	0.910
A0A1L8EJU1	utp11	12893	11094	0.927
A0A1L8EJU1	rack1-2	12893	14102	0.928
A0A1L8EJU1	A0A1L8HS12	12893	14135	0.931
A0A1L8EJU1	A0A1L8HMU9	12893	14135	0.931
A0A1L8EJU1	A0A1L8I2U3	12893	14135	0.931
A0A1L8EJU1	eef2.1	12893	14135	0.931
A0A1L8EJU1	eif3e	12893	11316	0.954
A0A1L8EJU1	A0A1L8FFL0	12893	12945	0.976
A0A1L8EJU1	rpl21	12893	12945	0.976
A0A1L8EJU1	MGC80700	12893	12945	0.976
A0A1L8EJU1	A0A1L8FTA2	12893	13095	0.983
A0A1L8EJU1	rpl15-2	12893	12792	0.988
A0A1L8EJU1	rpl15	12893	12792	0.988
A0A1L8EJU1	A0A1L8GYF6	12893	12475	0.989
A0A1L8EJU1	Rpl18a.S	12893	12475	0.989
A0A1L8EJU1	Rpl9.L	12893	12796	0.990
A0A1L8EJU1	A0A1L8HL68	12893	12796	0.990
A0A1L8EJU1	mrps15	12893	10698	0.990
A0A1L8EJU1	A0A1L8H816	12893	10698	0.990
A0A1L8EJU1	rpl17-2	12893	13096	0.991
A0A1L8EJU1	rplp0	12893	12888	0.991
A0A1L8EJU1	rpl12	12893	13480	0.991
A0A1L8EJU1	rpl17	12893	13096	0.991
A0A1L8EJU1	rplp0-2	12893	12888	0.991
A0A1L8EJU1	Rpl18.L	12893	12587	0.992
A0A1L8EJU1	Rpl18.S	12893	12587	0.992
A0A1L8EJU1	eif5a	12893	13169	0.992
A0A1L8EJU1	A0A1L8G435	12893	13169	0.992
A0A1L8EJU1	A0A1L8GHL2	12893	12682	0.992
A0A1L8EJU1	A0A1L8HF43	12893	13621	0.993
A0A1L8EJU1	rpl8	12893	13621	0.993
A0A1L8EJU1	A0A1L8G5I7	12893	12688	0.994
A0A1L8EJU1	rps14	12893	12688	0.994
A0A1L8EJU1	rpsa-2	12893	12951	0.996
A0A1L8EJU1	A0A1L8GBF9	12893	12479	0.996
A0A1L8EJU1	A0A1L8EJX0	12893	13839	0.996
A0A1L8EJU1	rpl4-2	12893	12787	0.996
A0A1L8EJU1	A0A310U0K2	12893	13839	0.996
A0A1L8EJU1	rpl4	12893	12787	0.996
A0A1L8EJU1	rpsa	12893	12951	0.996
A0A1L8EJU1	MGC82136	12893	12097	0.997
A0A1L8EJU1	rps3a	12893	12881	0.997
A0A1L8EJU1	rps13-2	12893	12120	0.997
