node1	node2	node1_OG	node2_OG	combined_score
ABCC5	ABCF2	14316	13967	0.577
ABCC5	ABCF2-2	14316	13967	0.583
ABCC5	ABCE1	14316	13967	0.546
ABCE1	ABCF2	13967	13967	0.921
ABCE1	RPS12	13967	13839	0.984
ABCE1	RPL8	13967	13621	0.878
ABCE1	NIFK	13967	14319	0.583
ABCE1	ABCF2-2	13967	13967	0.909
ABCE1	PSMC6	13967	14298	0.422
ABCE1	METAP2	13967	13654	0.429
ABCE1	CAPRIN1	13967	11177	0.440
ABCE1	FREM3	13967	13584	0.442
ABCE1	RAN	13967	14315	0.468
ABCE1	ABCC5	13967	14316	0.546
ABCE1	EEF1A1	13967	14203	0.549
ABCE1	G3BP2	13967	12613	0.580
ABCE1	PSMD4	13967	12433	0.587
ABCE1	MRPS15	13967	10698	0.633
ABCE1	PSMD1	13967	11621	0.649
ABCE1	G3BP1	13967	12613	0.692
ABCE1	RPL17-C18orf32	13967	13096	0.809
ABCE1	FLNA	13967	13930	0.815
ABCE1	RPL17	13967	13096	0.852
ABCE1	RPL15	13967	12792	0.855
ABCE1	RPL27A	13967	12691	0.856
ABCE1	RPL18	13967	12587	0.860
ABCE1	RPL7	13967	13095	0.914
ABCE1	RPL21	13967	12945	0.916
ABCE1	RPL12	13967	13480	0.919
ABCE1	RPL9	13967	12796	0.947
ABCE1	RPS14	13967	12688	0.968
ABCE1	RPL4	13967	12787	0.968
ABCE1	RPS18	13967	12893	0.970
ABCE1	RPS13	13967	12120	0.978
ABCE1	RPS7	13967	12479	0.978
ABCE1	RPS3A	13967	12881	0.983
ABCE1	RPS20	13967	12097	0.987
ABCE1	RACK1	13967	14102	0.988
ABCF2	RPL18	13967	12587	0.460
ABCF2	RPL7	13967	13095	0.515
ABCF2	RPL27A	13967	12691	0.530
ABCF2	RPS14	13967	12688	0.532
ABCF2	RPL12	13967	13480	0.532
ABCF2	RPL17-C18orf32	13967	13096	0.532
ABCF2	RPL8	13967	13621	0.544
ABCF2	DDX56	13967	14303	0.550
ABCF2	RPL17	13967	13096	0.559
ABCF2	RPS20	13967	12097	0.560
ABCF2	MRPS15	13967	10698	0.573
